Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,User_Score
6606,Might & Magic: Clash of Heroes,PC,Role-Playing,Ubisoft,E10,Capybara Games,8
6831,Little King's Story,Wii,Strategy,Xseed Games,T,Cing Inc. / Town Factory,9
6948,Dead Rising: Chop Till You Drop,Wii,Action,Capcom,M,Capcom Production Studio 1 / TOSE Software,7.2
7119,Darksiders,PS3,Action,THQ,M,Vigil Games,8.5
7279,The Conduit,Wii,Shooter,Sega,T,High Voltage Software,8.2
7416,Shin Megami Tensei: Devil Survivor,DS,Role-Playing,Atlus,T,Atlus Co.,8.8
7423,Deadly Premonition,X360,Action,Ignition Entertainment,M,Access Games,7.8
7670,MotoGP '07,X360,Racing,THQ,E,Climax Studios,8
7746,Grandia,PS,Role-Playing,Sony Computer Entertainment,E,Game Arts,9
8356,Deadly Creatures,Wii,Action,THQ,T,Rainbow Studios,6.8
8411,Afrika,PS3,Adventure,Natsume,E10,Rhino Studios,8
8454,NBA,PSP,Sports,Sony Computer Entertainment,E,989 Sports,7.2
8765,Dragon Ball: Revenge of King Piccolo,Wii,Action,Namco Bandai,E10,Bandai Namco Games,8
9326,FIFA 07 Soccer,GC,Sports,EA Sports,E,EA Canada,7.6
9668,Disgaea PC,PC,Role-Playing,NIS America,T,Nippon Ichi Software,9.5
9825,Castlevania Judgment,Wii,Fighting,Konami,T,Konami / Eighting,7.5
10382,Geist,GC,Adventure,Nintendo,M,n-Space,7.6
10656,South Park: The Fractured But Whole,NS,Role-Playing,Ubisoft,M,Ubisoft San Francisco,9.5
10804,Valhalla Knights: Eldar Saga,Wii,Role-Playing,Xseed Games,T,K2 / Kurogane,7.9
11394,"Snipperclips Plus: Cut It Out, Together!",NS,Puzzle,Nintendo,E,SFB Games,8.5
11445,Fatal Frame: Maiden of Black Water,WiiU,Misc,Nintendo,M,Koei Tecmo Games,5.8
11576,Prince of Persia: Rival Swords,PSP,Action,Ubisoft,T,"Pipeworks Software, Inc.",8.1
11619,Thousand Arms,PS,Role-Playing,Atlus,T,RED Company,8
11881,BlazBlue: Calamity Trigger Portable,PSP,Fighting,Aksys Games,T,Arc System Works,8.4
12630,Yooka-Laylee,XOne,Platform,Sold Out,E10,Playtonic Games,9.3
12662,F.E.A.R. 2: Project Origin,PC,Shooter,Warner Bros. Interactive,M,Monolith Productions,8.5
12925,Ratchet & Clank Future: Quest for Booty,PSN,Platform,Sony Computer Entertainment,E10,Insomniac Games,8.7
12996,Battle Fantasia,X360,Fighting,Aksys Games,T,Arc System Works,8
13198,Metal Slug Advance,GBA,Shooter,SNK,T,Noise Factory,9
13661,The Witch and the Hundred Knight 2,PS4,Role-Playing,NIS America,RP,Nippon Ichi Software,6.8
14288,Crimson Gem Saga,PSP,Role-Playing,Atlus,T,"IronNos Co., Ltd.",8
14638,Zoo Tycoon: Complete Collection,PC,Strategy,Microsoft Game Studios,E,Blue Fang Games,6
15321,Wonder Boy: The Dragon's Trap (Remake),NS,Platform,DotEmu,E10,Lizardcube,7.5
15501,Devil's Third,WiiU,Action,Nintendo,M,Valhalla Game Studios,5.7
15547,Wolfenstein,PC,Shooter,Activision,M,Raven Software,8
15649,RollerCoaster Tycoon,PC,Simulation,Microprose,E,Chris Sawyer,9.7
16143,Monster Boy and the Cursed Kingdom,NS,Action-Adventure,FDG Entertainment,E10,Game Atelier,9.5
16353,The Raven Remastered,PS4,Adventure,THQ Nordic,T,KING Art Games,8.4
16507,Railway Empire,XOne,Simulation,Kalypso Media,E,Gaming Minds Studios,8.3
16710,Override: Mech City Brawl,PS4,Action-Adventure,Modus Games,T,The Balance Inc,7
16764,Submarine Titans,PC,Strategy,Strategy First,E,Ellipse Studios,9
16872,Penny-Punching Princess,NS,Misc,NIS America,T,Nippon Ichi Software,9
16968,SNK 40th Anniversary Collection,NS,Misc,NIS America,T,SNK Corporation,7.5
17603,Left 4 Dead,PC,Shooter,Valve Corporation,M,Valve Software,8.5
17649,Mount & Blade,PC,Role-Playing,Paradox Interactive,T,Taleworlds,8.8
17899,Runner3,NS,Platform,Nicalis,E10,Choice Provisions,9
18379,Space Hulk: Deathwing,PS4,Shooter,Focus Home Interactive,M,Cyanide Studio,7.5
18508,Impossible Creatures,PC,Strategy,Microsoft Game Studios,T,Relic,8
18905,Moonlighter,PS4,Role-Playing,Merge Games,E10,Digital Sun,9
20401,Sid Meier's Civilization II,PC,Strategy,Microprose,E,MPS Labs,9.7
20583,Delta Force 2,PC,Shooter,NovaLogic,T,NovaLogic,6
21028,Samantha Swift and the Hidden Roses of Athena,PC,Adventure,Mumbo Jumbo,E,MumboJumbo,8.3
21107,Arcania: Gothic 4,PS3,Role-Playing,JoWood Productions,T,Spellbound Entertainment AG,8
22012,After Burner Climax,PSN,Simulation,Sega,E10,Sega-AM2,7.2
22013,After Burner Climax,XBL,Simulation,Sega,E10,Sega-AM2,7.2
22335,Alien Breed 1: Evolution,XBL,Shooter,Team17 Software,T,Team17 Software,6
22994,Archibald's Adventures,PSN,Puzzle,Unknown,E,Pavel Tovarys,10
24548,Bionic Commando Rearmed,XBL,Platform,Capcom,M,GRIN,9.5
25715,Call of Duty Classic,XBL,Shooter,Activision,T,Infinity Ward,6.8
30219,Extinction,PC,Action,Maximum Games,M,Iron Galaxy,6.9
31146,flower,PSN,Adventure,Sony Computer Entertainment,E,thatgamecompany,9
31404,Frogger,XBL,Action,Konami,E,Digital Eclipse,8
32541,Gravity Crash,PSN,Shooter,Sony Computer Entertainment,E,Just Add Water,6
