Name,Genre,Publisher,ESRB_Rating,Developer,User_Score
"Snipperclips Plus: Cut It Out, Together!",Puzzle,Nintendo,E,SFB Games,8.5
Fatal Frame: Maiden of Black Water,Misc,Nintendo,M,Koei Tecmo Games,5.8
Prince of Persia: Rival Swords,Action,Ubisoft,T,"Pipeworks Software, Inc.",8.1
Thousand Arms,Role-Playing,Atlus,T,RED Company,8.0
BlazBlue: Calamity Trigger Portable,Fighting,Aksys Games,T,Arc System Works,8.4
Yooka-Laylee,Platform,Sold Out,E10,Playtonic Games,9.3
F.E.A.R. 2: Project Origin,Shooter,Warner Bros. Interactive,M,Monolith Productions,8.5
Ratchet & Clank Future: Quest for Booty,Platform,Sony Computer Entertainment,E10,Insomniac Games,8.7
Battle Fantasia,Fighting,Aksys Games,T,Arc System Works,8.0
Metal Slug Advance,Shooter,SNK,T,Noise Factory,9.0
The Witch and the Hundred Knight 2,Role-Playing,NIS America,RP,Nippon Ichi Software,6.8
Crimson Gem Saga,Role-Playing,Atlus,T,"IronNos Co., Ltd.",8.0
Zoo Tycoon: Complete Collection,Strategy,Microsoft Game Studios,E,Blue Fang Games,6.0
Wonder Boy: The Dragon's Trap (Remake),Platform,DotEmu,E10,Lizardcube,7.5
Devil's Third,Action,Nintendo,M,Valhalla Game Studios,5.7
Wolfenstein,Shooter,Activision,M,Raven Software,8.0
RollerCoaster Tycoon,Simulation,Microprose,E,Chris Sawyer,9.7
Monster Boy and the Cursed Kingdom,Action-Adventure,FDG Entertainment,E10,Game Atelier,9.5
The Raven Remastered,Adventure,THQ Nordic,T,KING Art Games,8.4
Railway Empire,Simulation,Kalypso Media,E,Gaming Minds Studios,8.3
Override: Mech City Brawl,Action-Adventure,Modus Games,T,The Balance Inc,7.0
Submarine Titans,Strategy,Strategy First,E,Ellipse Studios,9.0
Penny-Punching Princess,Misc,NIS America,T,Nippon Ichi Software,9.0
SNK 40th Anniversary Collection,Misc,NIS America,T,SNK Corporation,7.5
Left 4 Dead,Shooter,Valve Corporation,M,Valve Software,8.5
