Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
Half-Life 2: Episode One,Shooter,Electronic Arts,M,Valve Software,8.7
Tony Hawk's Underground,Sports,Activision,T,Neversoft Entertainment,8.7
Just Dance 2014,Music,Ubisoft,E10,Ubisoft Paris,7.4
Professor Layton and the Diabolical Box,Adventure,Nintendo,E10,Level 5,8.5
Sports Champions,Sports,Sony Computer Entertainment,E10,SCE San Diego Studio,7.6
MotorStorm,Racing,Sony Computer Entertainment,T,Evolution Studios,8.2
World Soccer Winning Eleven 8 International,Sports,Konami,E,Konami Computer Entertainment Tokyo,9.3
LEGO Indiana Jones: The Original Adventures,Adventure,LucasArts,E10,Traveller's Tales,7.5
The Sims: Unleashed,Simulation,Electronic Arts,T,Maxis,7.3
Ratchet & Clank: Size Matters,Platform,Sony Computer Entertainment,E10,High Impact Games,8.5
Pokemon Trading Card Game,Strategy,Nintendo,E,Hudson Soft,8.3
FIFA 17,Sports,Electronic Arts,E,EA Canada,8.8
Spyro: Year of the Dragon,Platform,Sony Computer Entertainment,E,Insomniac Games,9.1
The Legend of Zelda: A Link Between Worlds,Adventure,Nintendo,E,Nintendo EAD,9.3
The Legend of Zelda: Skyward Sword,Adventure,Nintendo,T,Nintendo EAD,9.4
Midnight Club 3: DUB Edition,Racing,Rockstar Games,E10,Rockstar Leeds,7.2
MySims,Simulation,Electronic Arts,E,EA Redwood Shores,6.7
SOCOM: U.S. Navy SEALs,Shooter,Sony Computer Entertainment,M,Zipper Interactive,8.0
Jak and Daxter: The Precursor Legacy,Platform,Sony Computer Entertainment,E,Naughty Dog,9.0
Pokemon Snap,Simulation,Nintendo,E,HAL Laboratory,7.9
Guitar Hero: World Tour,Misc,Activision,T,Vicarious Visions,8.4
Star Wars Battlefront,Shooter,LucasArts,T,Pandemic Studios,8.1
Assassin's Creed Syndicate,Action,Ubisoft,M,Ubisoft Quebec,8.6
Cooking Mama 2: Dinner With Friends,Simulation,Majesco,E,Office Create,6.9
Croc: Legend of the Gobbos,Platform,Fox Interactive,E,Argonaut Games,7.6
Grand Theft Auto: Liberty City Stories,Action,Rockstar Games,M,Rockstar Leeds,8.3
The Getaway,Action,Sony Computer Entertainment,M,Team Soho,7.7
Spyro 2: Ripto's Rage!,Platform,Sony Computer Entertainment,E,Insomniac Games,8.7
Fable II,Role-Playing,Microsoft Game Studios,M,Lionhead Studios,9.0
World of Warcraft: The Burning Crusade,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.2
Pokemon Mystery Dungeon: Blue Rescue Team,Role-Playing,Nintendo,E,ChunSoft,6.3
Guitar Hero: On Tour,Misc,Activision,E10,Vicarious Visions,7.1
Tekken 4,Fighting,Namco,T,Namco,7.9
LittleBigPlanet 2,Platform,Sony Computer Entertainment,E,Media Molecule,9.1
Destiny,Shooter,Activision,T,Bungie,8.3
Crash Bash,Misc,Sony Computer Entertainment,E,Eurocom Entertainment Software,6.8
Tekken: Dark Resurrection,Fighting,Namco Bandai,T,8ing/Raizing,8.7
The Legend of Zelda: Majora's Mask,Adventure,Nintendo,E,Nintendo EAD,9.3
Yoshi's Island DS,Platform,Nintendo,E,Artoon,8.2
Big Brain Academy: Wii Degree,Misc,Nintendo,E,Nintendo EAD,7.1
Animal Crossing: Happy Home Designer,Simulation,Nintendo,E,Nintendo EAD,6.6
Half-Life 2: Episode Two,Shooter,Valve Software,M,Valve Corporation,9.1
Tekken,Fighting,Namco,T,Namco,8.3
Flash Focus: Vision Training in Minutes a Day,Misc,Nintendo,E,Bandai Namco Games,6.1
007: Tomorrow Never Dies,Shooter,Electronic Arts,T,Black Ops Entertainment,6.2
WWF SmackDown! 2: Know Your Role,Fighting,THQ,T,Yuke's,8.7
Assassin's Creed IV: Black Flag,Action-Adventure,Ubisoft,M,Ubisoft Montreal,8.3
Personal Trainer: Cooking,Misc,Nintendo,E,Nintendo EAD,8.4
Assassin's Creed Odyssey,Action-Adventure,Ubisoft,M,Ubisoft Quebec,9.5
Fallout: New Vegas,Role-Playing,Bethesda Softworks,M,Obsidian Entertainment,8.2
Ace Combat 04: Shattered Skies,Simulation,Namco,E,Namco,8.9
Sonic Heroes,Platform,Sega,E,Sonic Team,6.6
Club Penguin: Elite Penguin Force,Adventure,Disney Interactive Studios,E,1st Playable Productions,7.0
Tom Clancy's Ghost Recon Wildlands,Shooter,Ubisoft,M,Ubisoft Paris,7.0
Mario Party 9,Party,Nintendo,E,"Nd Cube Co., Ltd.",6.5
Heavy Rain,Adventure,Sony Computer Entertainment,M,Quantic Dream,8.8
Kung Fu Panda,Platform,Activision,E10,Luxoflux,7.5
New Super Luigi U,Action,Nintendo,E,Nintendo,7.8
Rhythm Heaven,Music,Nintendo,E,Nintendo SPD Group No.1,8.5
Rayman,Platform,Ubisoft,E,Ubisoft Montpellier,7.0
Tom Clancy's Splinter Cell,Action,Ubisoft,T,Ubisoft,9.3
Professor Layton and the Unwound Future,Adventure,Nintendo,E10,Level 5,8.4
Disney Epic Mickey,Platform,Disney Interactive Studios,E,Junction Point Studios,7.0
Killzone 2,Shooter,Sony Computer Entertainment,M,Guerrilla Games,9.1
Crysis,Shooter,Electronic Arts,M,Crytek,9.2
Fable,Role-Playing,Microsoft Game Studios,M,Big Blue Box,8.6
Gears of War 3,Shooter,Microsoft Studios,M,Epic Games,9.1
Kinect Sports,Sports,Microsoft Game Studios,E10,Rare Ltd.,7.4
Sonic and the Secret Rings,Platform,Sega,E,Sonic Team,6.7
Sonic Rush,Platform,Sega,E,Dimps Corporation,7.8
The Legend of Zelda: Majora's Mask 3D,Action-Adventure,Nintendo,E10,GREZZO,9.0
Warcraft II: Tides of Darkness,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.3
WWE SmackDown! vs. Raw 2006,Fighting,THQ,T,Yuke's,8.4
Kirby Super Star Ultra,Platform,Nintendo,E,HAL Laboratory,7.3
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle,Nintendo,E,Nintendo Software Technology Corporation,7.8
Style Savvy,Simulation,Nintendo,E,syn Sophia,7.6
Star Wars: The Old Republic,Role-Playing,Electronic Arts,T,BioWare / LucasArts,8.4
The Legend of Zelda: Spirit Tracks,Adventure,Nintendo,E10,Nintendo EAD,8.7
Wave Race 64,Racing,Nintendo,E,Nintendo EAD,9.2
Pokemon Ranger,Role-Playing,Nintendo,E,HAL Laboratory,6.6
Super Mario Maker,Platform,Nintendo,E,Nintendo,7.3
FIFA 15,Sports,EA Sports,E,EA Canada,6.9
Mortal Kombat (2011),Fighting,Warner Bros. Interactive Entertainment,M,NetherRealm Studios,8.5
Cooking Mama: Cook Off,Simulation,Majesco,E,Office Create,5.9
Syphon Filter,Shooter,989 Studios,T,Eidetic,9.2
Colin McRae Rally,Racing,Sony Computer Entertainment,E,Codemasters,7.9
1-2-Switch,Party,Nintendo,E10,Nintendo EPD,5.7
Wii Music,Music,Nintendo,E,Nintendo EAD,5.6
Yokai Watch,Role-Playing,Nintendo,E10,Level 5,7.7
The Elder Scrolls III: Morrowind,Role-Playing,Bethesda Softworks,T,Bethesda Softworks,8.2
Metroid Prime,Shooter,Nintendo,T,Retro Studios,9.6
Finding Nemo,Platform,THQ,E,Vicarious Visions,7.0
Medal of Honor,Shooter,Electronic Arts,M,EA Los Angeles,7.0
Gran Turismo (PSP),Racing,Sony Computer Entertainment,E,Polyphony Digital,7.8
Imagine: Fashion Designer,Simulation,Ubisoft,E,Virtual Toys / Lexis Numerique,3.0
Killzone 3,Shooter,Sony Computer Entertainment,M,Guerrilla Games,8.2
Tekken 5,Fighting,Namco,T,Namco,9.0
Skylanders: Spyro's Adventure,Action,Activision,E10,Toys for Bob,8.0
A Bug's Life,Platform,Sony Computer Entertainment,E,Traveller's Tales,3.6
Ratchet & Clank: Going Commando,Platform,Sony Computer Entertainment,T,Insomniac Games,8.7
Tetris DS,Puzzle,Nintendo,E,Nintendo,8.5
Far Cry: Primal,Action-Adventure,Ubisoft,M,Ubisoft Montreal,7.2
"Pokemon: Let's Go, Eevee!",Role-Playing,Nintendo,E,Game Freak,8.3
Overwatch,Shooter,Blizzard Entertainment,T,Blizzard Entertainment,8.7
Skate 3,Sports,EA Sports,T,EA Black Box,8.3
Mario Party,Misc,Nintendo,E,Hudson Soft,7.6
Mario Party: Island Tour,Party,Nintendo,E,"Nd Cube Co., Ltd.",5.5
Halo Wars,Strategy,Microsoft Game Studios,T,Ensemble Studios,8.1
Medal of Honor Heroes,Shooter,Electronic Arts,T,Team Fusion,6.7
Hannah Montana,Action,Buena Vista,E,DC Studios,6.5
Madden NFL 18,Sports,EA Sports,E,EA Tiburon,8.2
Mario Strikers Charged,Sports,Nintendo,E10,Next Level Games,7.7
Monster Hunter 3G,Role-Playing,Capcom,T,Capcom,7.6
Mario + Rabbids: Kingdom Battle,Strategy,Ubisoft,E10,Ubisoft Milan,8.3
Mario & Luigi: Dream Team,Role-Playing,Nintendo,E10,AlphaDream Corporation,8.0
Bastion,Role-Playing,Warner Bros. Interactive Entertainment,E10,Supergiant Games,8.5
Ratchet & Clank: Up Your Arsenal,Platform,Sony Computer Entertainment,T,Insomniac Games,9.1
Clubhouse Games,Misc,Nintendo,E,Agenda,8.3
Ratchet & Clank Future: Tools of Destruction,Platform,Sony Computer Entertainment,E10,Insomniac Games,8.9
Dragon Age: Origins,Role-Playing,Electronic Arts,M,BioWare Edmonton,8.5
Pokemon Stadium 2,Strategy,Nintendo,E,HAL Laboratory,7.9
Mario Tennis Aces,Sports,Nintendo,E,Camelot Software Planning,7.8
Crisis Core: Final Fantasy VII,Role-Playing,Square Enix,T,Square Enix,8.1
Dance Central,Music,MTV Games,T,Harmonix Music Systems,8.4
Far Cry,Shooter,Ubisoft,M,Crytek,8.6
Final Fantasy Tactics,Role-Playing,Sony Computer Entertainment,T,SquareSoft,8.8
Forza Horizon 3,Racing,Microsoft Studios,E,Playground Games,9.0
Warcraft III: The Frozen Throne,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.2
Game Party,Misc,Midway Games,E,JGI Entertainment,2.6
Mortal Kombat: Deadly Alliance,Fighting,Midway Games,M,Midway,8.2
WarioWare Touched!,Puzzle,Nintendo,E,Intelligent Systems,7.8
Resistance 2,Shooter,Sony Computer Entertainment,M,Insomniac Games,8.5
Batman: Arkham City,Action,Warner Bros. Interactive,T,Rocksteady Studios,9.0
Mario Party 4,Misc,Nintendo,E,Hudson Soft,7.0
Madden NFL 17,Sports,EA Sports,E,EA Tiburon,8.1
