Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
SPYRO THE DRAGON,Platform,Sony Computer Entertainment,E,Insomniac Games,8.7
GEARS OF WAR 2,Shooter,Microsoft Game Studios,M,Epic Games,9.4
HALO 5: GUARDIANS,Shooter,Microsoft Studios,T,343 Industries,8.6
GUITAR HERO III: LEGENDS OF ROCK,Misc,RedOctane,T,BudCat Creations,8.2
UNCHARTED: DRAKE'S FORTUNE,Action,Sony Computer Entertainment,T,Naughty Dog,8.7
SPLATOON,Shooter,Nintendo,E10,Nintendo EAD,8.4
DRAGON QUEST VIII: JOURNEY OF THE CURSED KING,Role-Playing,Square Enix,T,Level 5 / Armor Project,8.6
DIDDY KONG RACING,Racing,Nintendo,E,Rare Ltd.,8.3
POKEMON MYSTERY DUNGEON: EXPLORERS OF TIME / DARKNESS,Role-Playing,Nintendo,E,ChunSoft,6.4
CRASH TEAM RACING,Racing,Sony Computer Entertainment,E,Naughty Dog,9.2
LEGO STAR WARS: THE COMPLETE SAGA,Action,LucasArts,E,Traveller's Tales,7.8
THE LEGEND OF ZELDA: PHANTOM HOURGLASS,Adventure,Nintendo,E,Nintendo EAD,9.1
DRIVER 2,Action,Atari,T,Reflections Interactive,7.0
THE SIMPSONS: HIT & RUN,Racing,VU Games,T,Radical Entertainment,7.7
WORLD OF WARCRAFT: CATACLYSM,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.0
MONSTER HUNTER: WORLD,Action,Capcom,T,Capcom,9.3
GRAN TURISMO,Racing,Sony Computer Entertainment,E,Polyphony Digital,7.7
THE LORD OF THE RINGS: THE TWO TOWERS,Action,Electronic Arts,T,Stormfront Studios,8.3
GOD OF WAR,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.3
FORZA MOTORSPORT 4,Racing,Microsoft Studios,E,Turn 10 Studio,9.1
"POKEMON: LET'S GO, PIKACHU!",Role-Playing,Nintendo,E,Game Freak,8.3
MARIO & LUIGI: BOWSER'S INSIDE STORY,Role-Playing,Nintendo,E,AlphaDream Corporation,9.1
MARIO & SONIC AT THE OLYMPIC WINTER GAMES,Sports,Sega,E,Sega,6.8
STARCRAFT II: WINGS OF LIBERTY,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.3
WARCRAFT III: REIGN OF CHAOS,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.3
PROFESSOR LAYTON AND THE CURIOUS VILLAGE,Adventure,Nintendo,E,Level 5,8.7
NINTENDOGS + CATS,Simulation,Nintendo,E,Nintendo EAD,7.2
THE ELDER SCROLLS IV: OBLIVION,Role-Playing,Take-Two Interactive,M,Bethesda Softworks,9.2
RESISTANCE: FALL OF MAN,Shooter,Sony Computer Entertainment,M,Insomniac Games,8.5
ANIMAL CROSSING: CITY FOLK,Simulation,Nintendo,E,Nintendo EAD,7.1
DRAGON QUEST VII,Role-Playing,Enix,T,Heart Beat,8.0
MONSTER HUNTER GENERATIONS,Action,Capcom,T,Capcom,8.8
