rank,name,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,esrb_rating,userscore,metascore
475,WORLD SOCCER WINNING ELEVEN 6 INTERNATIONAL,2002-01-01,Sports,0.12,1.26,1.16,0.45,2.99,,,8.4,93
476,DEVIL MAY CRY,2001-01-01,Action,1.36,0.86,0.64,0.13,2.99,9.1,M,8.6,94
477,ANIMAL CROSSING: HAPPY HOME DESIGNER,2015-01-01,Simulation,0.47,1,1.39,0.12,2.98,6.6,E,6.9,66
479,THE SIMS 4,2014-01-01,Simulation,0.96,1.72,0,0.29,2.97,7,T,2.7,66
480,STAR WARS: THE OLD REPUBLIC,2011-01-01,Role-Playing,1.58,1.01,0,0.38,2.97,8.4,T,5.9,85
482,KIRBY SUPER STAR ULTRA,2008-01-01,Platform,1.57,0.04,1.19,0.15,2.96,7.3,E,8.8,76
485,WAVE RACE 64,1996-01-01,Racing,1.98,0.58,0.34,0.04,2.94,9.2,E,,
486,SOCOM II: U.S. NAVY SEALS,2003-01-01,Shooter,2.22,0.51,0.06,0.15,2.94,,,8.7,87
488,INFAMOUS,2009-01-01,Action,1.76,0.69,0.12,0.37,2.94,8.7,T,8.3,85
489,PAC-MAN COLLECTION,2001-01-01,Puzzle,2.07,0.77,0.05,0.05,2.94,,,7.7,79
491,WARIOWARE: SMOOTH MOVES,2006-01-01,Puzzle,0.87,1.06,0.73,0.26,2.92,8.2,E,7.5,83
