rank,name,platform,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,publisher,critic_score,user_score,crtic_esrb_rating,user_esrb_rating
2254,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,0.55,0.21,0,0.16,0.92,THQ,5.7,,E,
2255,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,0.58,0.26,0,0.08,0.92,THQ,7.8,,T,
2256,Dante's Inferno,X360,2010,Action,0.63,0.2,0.02,0.07,0.92,Electronic Arts,4.5,8.3,M,M
2259,Kung Fu Panda,Wii,2008,Action,0.5,0.32,0,0.09,0.92,Activision,7.5,,E10,
2262,Assassin's Creed,PC,2008,Adventure,0.01,0.83,0,0.08,0.92,Ubisoft,7.6,8,M,M
2264,Crysis 3,X360,2013,Shooter,0.51,0.33,0.01,0.08,0.92,Electronic Arts,7.5,,M,
2265,Lego Batman 3: Beyond Gotham,PS4,2014,Action,0.37,0.39,0,0.15,0.92,Warner Bros. Interactive Entertainment,7.4,,E10,
2266,Dynasty Warriors 7,PS3,2011,Action,0.25,0.14,0.46,0.06,0.92,Tecmo Koei,5.8,,T,
2267,The Evil Within,PS3,2014,Action,0.26,0.39,0.12,0.14,0.92,Bethesda Softworks,5.5,,M,
2270,Starsky & Hutch,PS2,2003,Racing,0.45,0.35,0,0.12,0.92,Empire Interactive,6,,T,
2271,Tobal No.1,PS,1996,Fighting,0.12,0.08,0.66,0.06,0.92,Sony Computer Entertainment,7.7,,T,
2272,Lost Odyssey,X360,2007,Role-Playing,0.45,0.27,0.11,0.09,0.92,Microsoft Game Studios,7.5,9.3,T,T
2274,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,0.23,0.46,0.05,0.17,0.92,Codemasters,7.3,,M,
2275,Homefront,PS3,2011,Shooter,0.32,0.4,0.04,0.15,0.91,THQ,6.6,,M,
2279,Harvest Moon 3D: A New Beginning,3DS,2012,Action,0.41,0.17,0.29,0.05,0.91,Marvelous Entertainment,8.2,,E,
2280,Tom Clancy's EndWar,X360,2008,Strategy,0.58,0.24,0.01,0.09,0.91,Ubisoft,6.7,,T,
2283,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,0.47,0.3,0,0.13,0.91,Activision,5.2,,E10,
2284,Colin McRae Rally 2.0,PS,2000,Racing,0.02,0.8,0.02,0.07,0.91,Codemasters,8.3,,E,
2286,MX vs. ATV Reflex,PS3,2009,Racing,0.52,0.26,0,0.12,0.91,THQ,5.3,,E,
2288,Namco Museum,XB,N/A,Misc,0.77,0.11,0,0.04,0.91,Unknown,5.3,,E,
2289,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,0.68,0.15,0,0.08,0.91,Activision,5.6,,T,
2290,Call of Duty: World at War,DS,2008,Shooter,0.57,0.26,0,0.08,0.91,Activision,7.4,7.8,T,M
2293,DJ Hero,PS3,2009,Misc,0.42,0.34,0,0.14,0.91,Activision,8.3,,T,
2295,The Simpsons Game,PS3,2007,Action,0.38,0.37,0,0.15,0.91,Electronic Arts,6,,T,
2297,Rhythm Heaven,Wii,N/A,Misc,0.13,0,0.77,0.01,0.9,Unknown,8.5,,E,
2300,SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,0.66,0.12,0.04,0.08,0.9,Sony Computer Entertainment,7,,M,
2301,Burnout Revenge,PS2,2005,Racing,0.75,0.03,0,0.12,0.9,Electronic Arts,8.8,,E10,
2302,Buzz! Quiz TV,PS3,2008,Misc,0.28,0.48,0,0.14,0.9,Sony Computer Entertainment,7.9,,T,
2306,Crysis 3,PS3,2013,Shooter,0.26,0.43,0.03,0.18,0.9,Electronic Arts,7.5,,M,
2307,3Xtreme,PS,1999,Action,0.5,0.34,0,0.06,0.9,989 Studios,2.9,,E,
2309,Sonic Heroes,XB,2003,Platform,0.41,0.43,0.01,0.05,0.9,Sega,6.6,,E,
2310,Resistance: Retribution,PSP,2009,Shooter,0.27,0.36,0.05,0.22,0.9,Sony Computer Entertainment,8,7.6,M,M
2312,Star Wars: The Force Unleashed,DS,2008,Action,0.51,0.29,0,0.09,0.9,LucasArts,6.8,7.4,T,T
2314,Spider-Man 3,PS2,2007,Platform,0.74,0.03,0.01,0.12,0.9,Activision,4.4,,T,
2315,James Bond 007: Agent Under Fire,XB,2002,Shooter,0.65,0.22,0,0.03,0.9,Electronic Arts,7.5,,T,
2316,Samba De Amigo,Wii,2008,Misc,0.42,0.37,0.01,0.1,0.9,Sega,6.7,,E,
2318,Pure,PS3,2008,Racing,0.42,0.33,0,0.14,0.9,Disney Interactive Studios,7,,E,
2320,Fossil Fighters,DS,2008,Role-Playing,0.84,0,0,0.06,0.9,Nintendo,6.9,,E,
2322,X-Men Legends,XB,2004,Role-Playing,0.62,0.24,0,0.04,0.9,Activision,8.2,,T,
2323,NBA Live 2005,XB,2004,Sports,0.81,0.05,0,0.04,0.9,Electronic Arts,8.5,,E,
2324,Harry Potter: Quidditch World Cup,PS2,2003,Sports,0.44,0.34,0,0.11,0.9,Electronic Arts,4.9,,E,
2325,The Biggest Loser: Ultimate Workout,X360,2010,Sports,0.73,0.1,0,0.06,0.9,THQ,8,,E,
2326,Madagascar,GBA,2005,Platform,0.62,0.24,0,0.03,0.89,Activision,5.5,,E,
2327,Call of Juarez: Bound in Blood,PS3,2009,Shooter,0.35,0.38,0.01,0.16,0.89,Ubisoft,7.6,,M,
2328,Killzone: Liberation,PSP,2006,Shooter,0.44,0.28,0,0.18,0.89,Sony Computer Entertainment,7.8,,T,
